SMILES,Tg,FFV,Tc,Density,Rg
*CCN(*)C(=O)CCCCCCOc1ccc(C(=O)Oc2ccc(OC(C)=O)cc2)cc1,,,,,
*c1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc(C3(*)c4ccccc4Oc4ccccc43)cc2)cc1,,,,,
*CCCC(C)CCC(O*)c1cccc(N)c1,,,0.196939,0.988049,14.6821667
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)c(C(C)C)c2)cc1C(C)C,,,,,
*c1ccc(S(=O)(=O)c2ccc(-c3nc4cc(S(=O)(=O)c5ccc6nc(*)c(-c7ccccc7)nc6c5)ccc4nc3-c3ccccc3)cc2)cc1,,,,,
*C#CC(F)(F)C(*)(C(F)(F)F)C(F)(F)C(F)(F)F,,,,,
*Oc1ccc(NC(=O)/C=C/c2ccc(OCCCCOC(*)=O)c(C(C)(C)C)c2)cc1,,,0.248865,1.070846,24.67085
*Oc1ccc(-c2ccc(/N=C/c3ccc([Si](C)(C)c4ccc(Oc5ccc(C(C)(C)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,,,,,
*OCCCCOC(=O)C(C#N)N1CCN(CC(*)=O)CC1,,,0.219896,1.110522,21.43255
*CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,,,,,
*C(=O)Nc1ccc(NC(=O)c2ccc(*)s2)cc1,,,,,
*CCCCCCCCCSSCCCCCCSS*,,,,,
*NC(CCCC(=O)OC(=O)c1ccc(C(=O)OCCC(C)C)cc1)C(*)C(=O)OCCOC[Ge](C)(C)C#N,,,,,
*CCCNC(=O)C(CCCCNC(=O)OCCCCC)C(=O)N*,,,0.291959,1.027374,12.91265
*c1ccc(-c2ccc(-c3cc(C)c(*)nc3CCO)cc2)cc1,,,0.329514,0.87037,31.9448
*c1cc(OCC(=O)C23CC4CC(CC(C4)C2)C3)c(*)cc1OC,,,,,
*[Si](*)(OCC)OCC,,,,,
*Cc1ccc(CN(CC)C(=O)CCCCCCCCC(=O)N(*)CC)cc1,,,0.272,0.980332205,
*/C=C/C(=C(C)C)C(*)=C(C)C,,,,,
*C1C(=O)N(c2ccccc2OC)C(=O)C1*,,,,,
*c1ccc(-c2ccc(-c3sc(*)c(CCCC)c3CCCC)s2)s1,,,,,
*C(=C(*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,,,,,
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](*)(C)O[Si](C)(C)O,,,,,
*NC(=O)CCCNC(=O)CCCCCCCCCC(=O)NCc1ccc(CNC(*)=O)cc1,,,0.262135,1.070388,18.85463333
*CCCCCNC(=O)CCCCC(=O)NCCCCCCSCCCCCNC(=O)C(=O)N*,,,0.28943,1.035611,19.32446667
*OC(=O)NCCNC(=O)CCCCCCCCC(=O)NC(O*)OC,,,0.262514,1.086227,21.8212667
*CC(*)OC(=C)C1CCCCC1,,,,0.886512894,
*CCCCCCCCCCCCSC(=O)S*,,,,,
*Oc1ccc(NC(=O)c2ccc(OC(=O)Oc3ccc(C(*)=O)cc3C)cc2)cc1,,,0.265471,1.210327,30.30376667
*[N+](*)(C)CCC(=O)NNC(=O)c1ccc(N(CCC)[Si](C)(C)C)cc1,,,,,
*CCCCCCNC(=O)Nc1ccc(CN(C(*)=O)c2ccc(C)cc2)cc1,,,0.312412,1.075153,20.34903333
*CC(*)(C)C(=O)OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,
*/C=C/c1ccc(*)cc1[Si](C)(C)C(C)(C)C,,,,,
*C(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)OCCCCCCCCCCCCCCOCC(*)C#N)cc2)cc1,81.64000000000004,0.353,,,
*OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c(O*)c(C)c3)cc2C)c1,,,,,
*CCc1ccc(Cc2ccc(*)cc2)cc1,,,0.318,1.024504013,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3c(Cl)c(Cl)c(C(*)=O)c(Cl)c3Cl)cc2)cc1,,,,,
*Oc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(NC(=O)CCCCC(=O)Nc4ccc(C(*)=O)cc4)cc3)c(C(=O)O)c2)cc1,,,,1.215358,28.7287333
*CC(*)(C)C(=O)OCCC[N+](C)(C)CCCOc1ccc(O)cc1,,,,,
*CCCCC(=O)NCCCCCOCCCCCNC(=O)CCCO*,,,,,
*CCCCCCCCCOc1ccc(C(=O)OCCCCCCCCCCCCCOC(=O)c2ccc(O*)cc2OC)cc1,,,,,
*C(=O)C(=O)C1=CC=C1*,,,0.154421,1.271471,19.7463
*CC(*)C(=O)OCCCCCCOC(=O)CCCCCC(=O)OC,,,0.264045,1.00585,12.6222833
*COc1ccc(CC(CS(*)(=O)=O)NC(C)=O)cc1,,,0.190271,1.19888,18.5132667
*Oc1cc(OC(=O)c2cc(OC)cc(OC(*)=O)c2)ccc1CC(C)C,,,0.231261,1.10107,18.0741
