SMILES,Tg,FFV,Tc,Density,Rg
*CCC[N+](*)(C)CCCO,290.2660000000001,0.656,,,
*CC(NC=O)C(c1ccccc1)C(*)(C#N)C(=O)OC,,,0.134,0.993697671,
*CCN(*)C(=O)c1ccc(Cl)cc1,,,0.162,1.204037064,
*CC(=O)C(*)CNC(=O)/C=C/C,38.771000000000015,0.322,0.228976,1.056647,13.2391167
*CCCCCCCNC(=O)c1cccc(C(=O)N*)c1,,,0.288,1.064753779,
*c1ccc2c(c1)Cc1cc(-c3ccc(*)n3C)ccc1N2CCCCCCCC,163.67540000000002,0.389,,,
*CCc1cc(Cl)c(*)cc1Cl,,,0.121,1.246431099,
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)CCC(=O)Nc1ccc(/N=N/c2ccccc2)cc1,,,0.296,1.114302771,
*CCCCOC(=O)CCCCCCCCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)O*)cc1,,,0.27,1.038484737,
*CCCC(COC(=O)Nc1ccc(OC(C)=O)cc1)C(=O)O*,25.09770000000003,0.319,0.236665,1.157689,13.29421667
*/C(C#N)=C(/*)c1ccccc1,,,0.109,0.840313538,
*Oc1ccc(C(C)(C)c2ccc(OC(=O)C(*)=O)cc2)cc1,,,0.231,1.119549048,
*c1cccc(*)c1N,,,0.35,1.058944211,
*CC(*)(C)c1ccc(Br)cc1,,,0.107,1.283043975,
*Nc1cc(NC(=O)c2cccc(C(*)=O)c2)c(C(=O)O)cc1C(=O)OCCCCCCCC,160.66330000000005,0.335,,,
*CC(*)c1ccc(COCCO)c(C=O)c1,121.38660000000004,0.328,0.216983,1.089294,11.6232467
*OC(=O)N(C(*)=O)c1ccc(N(C)C(C)CC)cc1,162.7398,0.356,,1.111236,12.69543667
*CCN(*)C(=O)CCCOc1ccc(SC)cc1,,,0.227,1.130756311,
*c1ccc2c(c1)Oc1ccc(C3(c4ccc5c(c4)Oc4ccc(*)cc4O5)c4ccccc4-c4ccccc43)cc1O2,,,,0.91471757,
*Oc1ccc(/C(C)=N/N=C/C(=O)Nc2ccc(S(*)(=O)=O)cc2)cc1,168.7427,0.347,,,
*CCCCCCCCCC(=O)NNC(=O)NS(=O)(=O)CCCCOC(=O)c1cccc(C(=O)N*)c1,175.0491,0.335,0.247935,1.148997,23.14601667
*CCCC#CCOC(=O)c1cc(-c2ccc(N(*)c3ccc(C#N)cc3)cc2)ccc1C,119.55630000000002,0.369,0.245804,1.100853,17.85451667
*Cc1ccc(CNC(=O)CCCCCCCCCCCCC(=O)N*)cc1,,,0.288,0.989165407,
*/C=C(/*)c1ccc(OC)cc1,,,0.187,0.952952219,
*CC(*)(Cl)C(=O)OC=CC#N,334.3475,,,,
*CC(*)(Cl)C(=O)OCCCCCCN1CCN(c2ccc(OCCCC)cc2)P1,46.55920000000003,0.357,,,
*CC(C)(CO*)COC(C)(C)C,7.61930000000001,,0.20027,0.855911,13.83153333
*CCN(*)C(=O)c1ccc(OCC=C)cc1,,,0.205,1.080795033,
*C(=O)CCCCC(=O)Oc1ccc(/C=C/c2ccc(OCCCCCCCCCCCCCCOC(*)=O)s2)cc1,-27.694399999999973,0.352,,,
*Nc1ccc(*)cc1Cl,,,0.272,1.282885823,
*c1ccc(-c2ccc(S(=O)(=O)NCCCCCCNS(*)(=O)=O)cc2)cc1,,,0.221,1.226652168,
*O[Si](*)(c1ccccc1)c1ccc([Si](C)(C)OC(C)SC)cc1,71.77420000000001,,,,
*/C=C(/*)c1ccc(Cl)cc1,,,0.121,1.012168908,
*Nc1ccc(-c2ccccc2[Si](*)(C)CCCCCCCCCC)cc1,107.28180000000005,0.385,,,
*c1ccc(C2(c3ccc(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(*)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c3cc(C(C)(C)C)ccc3-c3ccc(C(C)(C)C)cc32)cc1,,,,0.977851312,
*CCCCCCN(CC)C(=O)c1ccc(C(=O)N(*)CC)cc1,,,0.224,0.988101229,
*CCC(C)(C)CCS*,53.25510000000003,0.388,,,
*CCCCCCCCOc1ccc(C(=O)OCCN(CC)c2ccc(C(C)(Cl)c3ccc(O*)cc3)cc2)cc1,71.46470000000005,0.353,0.236883,1.068111,19.81275
*CC(*)C(=O)OCCCCCCCCCCOc1ccccc1C(=O)O,,,0.232,1.027192126,
*CCCCCCCCCCCCNC(=O)c1ccc(-c2ccc(C(=O)N*)cc2)cc1,,,0.429,1.028987551,
*c1ccc(Oc2ccc(N3C(=O)c4ccc(C(=O)c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,,,,1.214181979,
*c1cc(OCC)c(*)cc1OC,,,0.313,0.903468314,
*CCCCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O*)cc2)cc1,,,0.207,1.056703332,
*CC(COc1ccccc1C)O*,,,0.229,1.068860019,
*CCN(CCOC(=O)NCCCCCCNC(=O)O*)c1ccc(/N=N/c2ccccc2)cc1,,,0.275,1.102120471,
*/C=C(/*)CCCCCCCCCCOc1ccc(-c2ccc(C(=O)OC(C)CCCCCC)cc2)cc1,,,0.267,0.940347256,
*OC(=O)NNC(=O)CC(=O)NC(C(=O)OCC(C)(C)C)C(*)COC(F)(F)F,43.19810000000001,0.33,0.158736,1.218064,14.5354333
*CCCCCCNC(=O)Cc1ccc(CCCCCCCCOc2ccc(C(=O)O*)cc2)cc1,85.2781,0.348,0.260511,1.009314,23.95796667
*CCCCCCCCOc1ccc([Si](C)(C)c2ccc(O*)cc2Sc2ccccc2)cc1,108.25940000000004,0.369,,,
*/N=N/c1ccc(-c2ccc(*)c(C)c2)cc1C,,,0.678,1.021202869,
*c1ccc(C(=O)NCCCCCCCNC(=O)c2ccc(*)s2)s1,169.92130000000003,0.359,,,
